,Coords,distance of sample from original dd,distance of sample from original ev,error,mean distance from mean_dd,mean distance from mean_ev,mean distance from original dd,mean distance from original ev,mean triangle count,original dd distance from mean,original dd vec,original ev distance from mean,original ev vec,original triangles,sample distances from mean dd vec,sample distances from mean ev vec,sample triangle counts,stdev distance from mean_dd,stdev distance from mean_ev,stdev distance from original dd,stdev distance from original ev,stdev triangle count,vector mean of deg dist,vector mean of eigenvalues,vector stdev of deg dist,vector stdev of eigenvalues
0,"(0.0, 0.0, 0)","[[7038.45025556 7038.45025556 7038.45025556 7038.45025556 7038.45025556
  7038.45025556 7038.45025556 7038.45025556 7038.45025556 7038.45025556
  7038.45025556 7038.45025556 7038.45025556 7038.45025556 7038.45025556
  7038.45025556 7038.45025556 7038.45025556 7038.45025556 7038.45025556
  7038.45025556 7038.45025556 7038.45025556 7038.45025556 7038.45025556
  7038.45025556 7038.45025556 7038.45025556 7038.45025556 7038.45025556]]","[[426.17132705 426.17132705 426.17132705 426.17132705 426.17132705
  426.17132705 426.17132705 426.17132705 426.17132705 426.17132705
  426.17132705 426.17132705 426.17132705 426.17132705 426.17132705
  426.17132705 426.17132705 426.17132705 426.17132705 426.17132705
  426.17132705 426.17132705 426.17132705 426.17132705 426.17132705
  426.17132705 426.17132705 426.17132705 426.17132705 426.17132705]]",7051.340581761741,0.0,0.0,7038.450255560522,426.1713270505186,0.0,7038.450255560524,[[  0   0   0 ... 697 712 744]],426.17132705051847,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]]",0.0,0.0,1.8189894035458565e-12,1.1368683772161603e-13,0.0,[[0. 0. 0. ... 0. 0. 0.]],[[0. 0. 0. ... 0. 0. 0.]],[[0. 0. 0. ... 0. 0. 0.]],[[0. 0. 0. ... 0. 0. 0.]]
1,"(0.0, 0.0, 1)","[[6938.0765346  6939.00713359 6938.72120783 6937.28433899 6938.45876258
  6937.93874288 6938.66572188 6936.30795164 6939.32287763 6938.62839472
  6939.11795548 6938.68287213 6938.3228521  6939.78645205 6938.29186472
  6940.18832598 6938.54451596 6938.00360334 6938.59005851 6940.4156936
  6937.12202574 6938.20855841 6939.41222295 6936.75947399 6940.38168979
  6937.63504373 6939.67535264 6937.49825225 6937.79201187 6937.36001661]]","[[386.80239924 387.13325725 386.93643011 387.27253048 386.85668998
  387.06169453 387.15777673 386.83989562 386.91259119 386.95007327
  387.16114418 386.84281525 386.69799654 388.24639969 387.84907645
  387.62409561 386.81229951 386.91873882 386.6301256  387.71219509
  386.30421026 387.05562581 386.17508078 385.99160903 387.30826717
  386.75341567 387.36127593 386.86671543 387.39932188 386.24744355]]",6949.218021765356,21.255584454433162,2.864787302333065,6938.4733502727895,386.99603968777853,0.0,6938.434536054304,[[  0   0   0 ... 697 712 744]],386.9848871949673,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[16.03780256 14.60859716 11.74213685 18.21202289 12.87935471  7.97147693
  14.43645078 15.08899525 23.43240871 12.72311981 17.66572325 24.32442759
  20.0983692  35.97143929 26.74841636 23.65046394  9.96716833 12.52774698
  25.44296454 23.13318924 33.10706538 14.83951182 43.28214926 39.56948881
  13.56261201 20.2684758  27.92509823 15.9961801  20.69970478 41.75497309]]","[[2.15683156 2.0231565  1.86657275 4.42129264 1.74117712 2.82348535
  1.71437784 3.53919812 3.49569559 2.72996804 2.77906757 2.72331169
  2.36882511 3.70710044 3.63821292 2.95462116 1.78677761 1.77074858
  2.82140663 3.09976864 3.61155504 1.76849774 4.01790023 4.01859987
  2.78306194 2.55700805 3.10771961 2.41774419 2.96584466 4.53409188]]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]]",9.373136351084133,0.8097350400649488,1.0169665485744621,0.4804793435757791,0.0,"[[ 1.          1.          1.         ... 32.16666667 42.8
  71.1       ]]","[[-8.61296064 -6.66257814 -5.77064492 ...  5.77064492  6.66257814
   8.61296064]]","[[ 0.          0.          0.         ...  6.73836446 10.74057727
  16.62999298]]",[[0.91104585 0.68687959 0.48830624 ... 0.48830624 0.68687959 0.91104585]]
2,"(0.0, 0.0, 2)","[[6850.4312273  6852.73697146 6852.33916265 6852.7089534  6846.32748267
  6851.35417272 6850.74331733 6851.83274752 6850.00788321 6852.54492871
  6852.06217135 6850.80695977 6849.02518611 6850.62624875 6849.68408031
  6851.51472304 6848.55225577 6850.86549277 6850.28028624 6848.95276666
  6848.68147894 6849.39909773 6853.24054736 6848.91305245 6849.7213082
  6846.24261913 6852.7556501  6852.01255107 6853.0237122  6851.10210112]]","[[372.02338406 372.48008836 372.70239194 372.26629456 372.00735223
  372.19010978 371.8475462  371.76219893 371.53454456 372.38407317
  371.68595601 371.22586137 371.50865139 372.00787365 370.62097548
  372.28431651 371.206349   372.32230656 371.11261786 372.27205115
  372.3977983  371.77857302 371.55041742 371.58941056 371.30992463
  371.52725771 372.89921049 372.4407292  371.96560661 373.19243123]]",6860.638240538458,28.416824332424618,2.1999329612973306,6850.616304534487,371.9365433978535,71.0,6850.549266380844,[[  0   0   0 ... 697 712 744]],371.9298541761899,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[18.46395889 27.4757671  26.18366751 13.31106474 28.68189518 29.38907582
  24.65463671 21.67758699 22.98226369 19.80701335 23.4943492  41.37693936
  20.7344587  14.81613235 68.10911181 24.11744412 31.04809889 22.56954684
  40.68969293 24.91554624 35.84388992 28.71906065 35.37962377 21.27246525
  33.01592208 22.45256729 30.83263062 25.83636541 24.82306275 49.8308918 ]]","[[1.15554483 1.89241527 2.18319161 1.7714648  2.89816327 2.28903087
  1.66571292 1.54822785 1.67725962 1.64519209 1.86560206 3.12478931
  1.66208539 1.26739882 4.09936268 1.79268468 2.37230968 1.80074064
  2.83179132 2.26522162 2.71983437 1.90753434 3.19287673 1.98644075
  2.08540332 2.51262694 2.39118142 1.80706392 1.95101413 3.63582358]]","[[ 67.  61.  58.  59.  78.  62.  74.  70.  73.  54.  66. 102.  80.  67.
  107.  67.  83.  76.  85.  59.  69.  89.  67.  78.  67.  81.  59.  58.
   63.  51.]]",10.687983146927625,0.6698468673520993,1.8022336821363427,0.5590282983615131,12.976902558006667,"[[ 1.96666667  2.          2.         ... 56.03333333 65.4
  85.8       ]]","[[-9.54739736 -8.37592688 -7.75340475 ...  7.61528839  8.30952937
  11.10848041]]","[[ 0.17950549  0.          0.         ...  9.20319993 10.78455686
  21.37506335]]",[[0.903021   0.52453126 0.48850669 ... 0.36591309 0.52432444 0.81849472]]
3,"(0.0, 0.0, 3)","[[6768.34411064 6763.86457582 6762.48312382 6767.24242214 6763.67695858
  6766.20100204 6763.2468534  6765.8759965  6767.52923895 6762.96828323
  6763.39352692 6767.8665767  6765.46642886 6769.32256581 6764.56753976
  6761.93596539 6768.56513598 6764.89438203 6764.67944547 6762.56238419
  6763.63289956 6763.3722358  6766.22524012 6766.0183269  6761.71753329
  6770.6633353  6763.91040745 6764.45977148 6765.831804   6766.67067323]]","[[361.18112487 360.17099692 360.33831916 361.76218637 360.13597268
  361.18753257 360.29699503 360.20938556 360.99127299 359.64786362
  359.76944385 360.80186555 360.514339   361.78677431 360.45227763
  360.18503348 360.63145531 359.76540031 360.81608462 360.47760874
  360.35651487 360.20967822 360.60794323 360.03893756 359.12720131
  361.18132661 359.98912459 360.19945998 360.70846746 361.00542815]]",6774.766740776434,29.2022966845558,1.8574004862310722,6765.239624778408,360.4848671509144,243.3,6765.169509250221,[[  0   0   0 ... 697 712 744]],360.4801007568355,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[27.76128399 28.53808372 33.7306323  52.19408225 23.92116682 34.99079244
  18.31999515 32.90423816 27.14324143 38.74905017 34.94217445 15.55920592
  22.53343195 44.73278688 30.74446653 21.08448613 16.15205525 37.91510986
  28.28466408 18.74981481 33.69404827 22.19209068 20.33934337 37.5493749
  56.71644872 29.70110361 27.69396244 19.3826956  17.22852931 22.6205413 ]]","[[1.87842018 1.83252385 2.01762807 3.18498785 1.32157924 1.91100586
  1.25294408 1.86241946 1.66931038 2.46836102 2.64047713 1.31218274
  1.42950203 2.81875299 1.95942764 1.46857173 1.51199249 1.94379708
  1.61810863 1.56076827 1.8739154  1.14618892 1.22685504 2.07012483
  3.2976544  2.6547979  1.73746113 1.16622183 1.2923376  1.5936968 ]]","[[192. 258. 240. 195. 244. 217. 239. 258. 225. 271. 285. 216. 251. 173.
  216. 267. 251. 297. 232. 214. 245. 265. 239. 263. 330. 218. 262. 255.
  242. 239.]]",10.050057020980493,0.5728492179577896,2.2552150187176037,0.5845422471073013,31.35086389027688,"[[  2.96666667   3.           3.         ...  73.96666667  84.1
  104.03333333]]","[[-10.4492248   -9.50510184  -8.93476181 ...   8.69298536   9.44253186
   14.21092843]]","[[ 0.17950549  0.          0.         ...  8.32859865 12.89017714
  18.2747245 ]]",[[0.6897656  0.53871392 0.39554941 ... 0.42038694 0.45885806 0.64469496]]
4,"(0.0, 0.0, 4)","[[6677.01684886 6677.65003575 6677.13426554 6679.6254386  6681.58409361
  6680.75384968 6678.35398882 6681.21231514 6679.7854756  6681.22234325
  6679.49713676 6677.09008476 6679.72604229 6680.28337722 6681.5085123
  6682.41318687 6684.89835375 6681.46166643 6679.09260304 6681.96587839
  6681.76174373 6680.95606931 6679.11236618 6681.3073571  6681.22443868
  6683.20641609 6679.80164376 6678.26504416 6678.61542537 6683.63149792]]","[[350.29576509 351.31115289 350.48181799 350.03594309 351.16656852
  351.09598929 349.99489955 350.81754695 350.49409519 351.13991625
  351.19733071 350.95278553 350.23770026 350.74903803 351.03972683
  350.8309351  351.49216896 350.53103137 350.46106099 351.07080237
  350.4099166  350.87991492 349.97238849 350.62725649 350.97123963
  351.32322872 350.53745359 349.62542869 350.22771189 350.82762843]]",6689.450516016394,32.635815995450706,1.6256690862299454,6680.338583298702,350.6932814133472,562.2333333333333,6680.251869503126,[[  0   0   0 ... 697 712 744]],350.6895582021287,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[23.54938074 51.71821085 33.3862247  50.05703414 23.73548679 35.97462068
  40.70757505 17.77001219 24.75695189 53.0946325  36.49803648 33.08534419
  35.47543751 22.09162737 32.37859375 21.20786018 38.42533886 33.95055228
  30.56315865 32.53572396 32.93488525 19.93589727 40.52867298 26.08396698
  25.69513573 26.93275577 34.76358248 53.84211487 28.2861568  19.10950898]]","[[1.52582947 2.39065452 1.77112642 2.07322857 1.13385177 1.80232144
  2.14611453 1.04280231 0.9760141  1.96933258 1.89771626 2.1121574
  1.89807388 1.01126902 1.34615681 1.26269191 2.10079952 1.78066434
  1.30422976 1.4755337  1.49857198 0.96596001 1.75823912 1.58485333
  1.31448382 1.66099473 1.7351054  2.54632346 1.53046595 1.15450649]]","[[584. 488. 584. 592. 473. 539. 606. 547. 618. 535. 539. 533. 578. 538.
  526. 550. 529. 562. 558. 536. 580. 519. 665. 580. 549. 514. 566. 702.
  616. 561.]]",9.858846161920622,0.41823849433457216,1.9354131355743955,0.4542322744048958,46.67382088018459,"[[  3.9          4.           4.         ...  90.86666667  99.36666667
  122.93333333]]","[[-11.34296449 -10.37672964  -9.91896755 ...   9.6315021   10.16323163
   17.56795512]]","[[ 0.53851648  0.          0.         ...  7.69299826  9.5200957
  21.79745143]]",[[0.63285621 0.34911416 0.29737596 ... 0.28674252 0.37623891 0.51761866]]
5,"(0.0, 0.0, 5)","[[6602.17358148 6598.70244821 6597.19182683 6605.52829076 6600.64693799
  6595.56199273 6591.82903298 6593.22879931 6598.92309396 6592.91498504
  6598.52331965 6595.99802911 6598.20293716 6595.66736578 6599.3093578
  6598.16535107 6600.5102833  6595.67509812 6596.92595077 6597.92164246
  6590.07283723 6598.77685636 6595.83535271 6596.77951731 6596.33276905
  6595.49679706 6601.44226666 6598.46421525 6598.83732183 6589.40786414]]","[[343.04257052 342.53503788 342.33854599 343.57622736 343.30846269
  342.5458494  341.5969249  342.02804917 342.90380326 341.3573457
  343.21626463 341.26457952 342.14742554 341.78607143 342.40214779
  342.13085406 342.79374568 342.41758573 341.85747962 342.27162824
  341.29721548 342.69976081 342.84576341 342.63325569 342.72165459
  342.34064988 343.27420568 342.69833479 342.40334002 341.68076334]]",6605.936920189395,36.84092055646341,1.6999238747850514,6597.168204070384,342.40385142612814,1027.8,6597.057299702311,[[  0   0   0 ... 697 712 744]],342.3997341789297,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[30.70421614 17.87593043 26.36820476 43.43288565 47.41956933 36.67445372
  46.48529039 35.02783021 27.78996621 49.72473116 37.35258432 66.16556674
  42.31802873 38.28771198 29.61332283 33.16346718 28.09772628 42.58108605
  54.47093007 33.95215588 51.01648971 33.440727   28.53212614 25.60629263
  31.0432315  29.53216702 50.34496554 23.54461486 21.41998029 43.24136394]]","[[1.76528404 0.97448139 1.08352855 2.58581923 2.02122021 1.26019581
  2.03928164 1.94565993 1.27999148 2.50411039 2.25152835 2.82942315
  1.57723502 1.51157256 1.3011466  1.4460467  1.35441975 1.50896326
  2.28729057 1.11408894 2.55409132 1.32378257 1.67353878 0.97782061
  1.5369236  1.32454917 1.90952467 1.26071886 1.15992104 2.63555803]]","[[ 905.  998. 1037.  837.  898.  969. 1130. 1071.  933. 1164.  947. 1188.
  1038. 1146. 1023. 1092.  983. 1057. 1021. 1027. 1198. 1031.  937. 1001.
  1040. 1035.  926.  960. 1087. 1155.]]",10.841172307310522,0.5370634195754279,3.3892776162801415,0.5988928554978683,89.2032884296687,"[[  4.8          5.           5.         ...  99.83333333 110.76666667
  131.76666667]]","[[-11.7352736  -10.9977575  -10.46359407 ...  10.19833148  10.80504632
   20.54255621]]","[[ 0.65319726  0.          0.         ... 11.53858262 13.0682397
  22.01012393]]",[[0.61998664 0.41372352 0.36162871 ... 0.31595079 0.41788624 0.57274559]]
6,"(0.0, 0.0, 6)","[[6513.87089218 6516.67277067 6517.74746366 6509.66189598 6513.4374949
  6515.48493974 6517.91715197 6510.65035154 6517.38245003 6516.26165834
  6516.72908751 6511.2971058  6511.15105031 6515.17244591 6514.91780455
  6511.10113575 6514.01903589 6514.39283433 6516.86197491 6514.45408304
  6516.77450891 6513.71813943 6517.49844649 6515.91190855 6512.80062646
  6514.22105858 6519.26284176 6513.84939955 6508.7736172  6517.12988976]]","[[334.54862934 334.77069532 335.36327202 334.38772437 334.07809304
  335.47158392 335.2240459  334.15725386 334.867943   335.07557402
  335.15977076 334.13525502 334.5169048  334.68027517 335.34833231
  334.62274848 334.65223808 333.44484854 334.82928183 334.96630419
  335.0651531  334.78211825 335.39002282 335.41393469 334.72465722
  335.27361598 334.93898974 334.8125605  333.67993978 335.50679788]]",6523.115489974267,37.1426167464394,1.5521670314514264,6514.637468791054,334.7962854650247,1695.2333333333333,6514.518371043761,[[  0   0   0 ... 697 712 744]],334.7926057659483,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[44.92074502 31.5806903  37.39616736 29.22339246 56.8331476  45.46727761
  26.06031466 40.97080261 22.14362211 38.81417267 37.40864428 39.58122451
  28.30088338 27.55249535 40.6038586  23.10569915 31.36994315 82.0516504
  32.35954264 22.67465545 28.74149149 26.6071419  38.94962559 45.33218136
  18.7937933  34.05984929 49.55744142 26.56827682 66.25863466 40.99113725]]","[[1.52014249 1.49523307 1.50681556 1.67542773 2.17452384 1.73460701
  1.25087167 1.44023698 0.99447284 1.39048475 1.14916788 1.7283608
  1.29359495 1.06282414 1.74011028 1.16875899 0.99939432 3.45775743
  1.89712576 0.90414585 0.96849221 1.04289922 1.59183097 1.91001444
  0.94953822 1.45830049 2.13285005 1.24958567 2.93545115 1.74199218]]","[[1776. 1701. 1570. 1774. 1866. 1539. 1652. 1827. 1724. 1585. 1612. 1800.
  1833. 1702. 1619. 1701. 1769. 1930. 1622. 1556. 1617. 1672. 1634. 1606.
  1769. 1573. 1683. 1667. 1963. 1515.]]",13.37981145459281,0.5633335631533365,2.617293201151191,0.5125247040858855,113.45915074990157,"[[  5.93333333   6.           6.         ... 111.46666667 127.96666667
  147.66666667]]","[[-12.35936129 -11.64728953 -11.09770922 ...  10.76370351  11.27494709
   23.74687094]]","[[ 0.35901099  0.          0.         ...  9.6772356  15.84820354
  19.18738011]]",[[0.53391475 0.44576312 0.30144464 ... 0.27040729 0.36436811 0.55188241]]
7,"(0.0, 0.0, 7)","[[6434.87513476 6430.05707595 6436.27547577 6435.0131313  6431.3791678
  6433.67297894 6429.87511543 6439.53631871 6437.22999434 6431.4144634
  6432.42178343 6430.05412108 6430.68767707 6432.02223255 6431.79865978
  6432.14894106 6437.97437087 6433.38464574 6431.63991529 6429.92923756
  6433.69396226 6434.54147551 6432.80794055 6429.88615762 6435.16091485
  6432.22931805 6435.042191   6434.04289697 6433.94140477 6436.11497722]]","[[327.82374648 327.74935885 328.42909699 328.44626697 328.02349716
  328.04449916 327.62648835 329.12783493 328.27846254 327.52641359
  327.37121194 327.1301213  327.29043544 327.64666062 327.89211146
  328.02809753 328.49660527 328.13123936 327.99547687 327.20770855
  328.54843091 327.1629754  327.14240988 327.83471819 328.34716647
  328.28909002 328.25257455 327.88155868 327.88418656 328.38255817]]",6441.525161537382,37.98069476550212,1.4428521976177342,6433.295055987858,327.9330334063236,2532.0333333333333,6433.172495916942,[[  0   0   0 ... 697 712 744]],327.9299383968651,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[33.75246493 27.10895711 30.18656802 37.6885777  40.95561283 16.8254437
  23.0020772  54.54443652 35.43485415 37.1065433  44.10550482 48.44476809
  41.02636009 38.02055    33.8027941  41.50777705 36.34687821 22.00671615
  28.37655527 43.47446249 39.96200974 67.63649574 73.33277273 26.87555684
  31.71900937 41.66487996 29.86015554 29.35010884 42.88856361 42.41338887]]","[[1.49215365 1.0710662  1.52110349 1.39187772 1.50789352 0.72005337
  1.01011995 2.40472469 1.38246512 1.58630992 1.51396247 1.85421228
  1.69813333 1.4786052  0.97532824 1.19199446 1.45022998 1.03760429
  0.93853157 2.16066587 1.6695071  2.21294689 2.35312084 1.26806987
  1.3175298  1.44225956 1.14026376 0.85869227 1.05432935 1.58181117]]","[[2520. 2605. 2424. 2475. 2489. 2437. 2669. 2249. 2501. 2547. 2687. 2738.
  2729. 2509. 2509. 2512. 2449. 2463. 2561. 2747. 2298. 2840. 2626. 2544.
  2447. 2451. 2461. 2635. 2424. 2415.]]",11.859086652894929,0.4239165593102893,2.5011868198633826,0.4812749861291528,130.40155503503613,"[[  6.83333333   7.           7.         ... 122.         135.63333333
  158.56666667]]","[[-12.74763422 -12.0940703  -11.64512814 ...  11.26680564  11.72275532
   26.75676098]]","[[ 0.89752747  0.          0.         ...  8.61007162 13.3203687
  22.1249231 ]]",[[0.56254967 0.35629295 0.28028626 ... 0.21424056 0.28848755 0.48153402]]
8,"(0.0, 0.0, 8)","[[6358.78526135 6357.76658898 6355.59281263 6350.82561562 6353.0251062
  6353.68507246 6353.7267804  6350.39715293 6355.77784382 6355.27890812
  6355.81890869 6355.70263622 6346.36368324 6350.85222628 6358.28577527
  6358.88826761 6355.46898348 6348.68616329 6356.39725002 6348.02425956
  6353.44237402 6349.41666612 6350.64295958 6351.91419967 6345.99495745
  6350.02708656 6349.45052741 6352.31611304 6352.04533989 6351.57319095]]","[[322.5004606  321.8342593  321.87626919 321.63381492 321.91795675
  321.28127589 321.99410567 321.18597805 321.99059072 321.60260971
  321.89637489 321.52208013 321.63707745 321.39053823 321.98548452
  321.95166649 322.39923061 321.39754047 321.71527059 321.11977072
  321.76915721 321.11308241 321.81331905 321.46627929 320.9525681
  320.8677217  321.10241347 321.57024454 321.25849363 321.51464887]]",6360.9094839029685,34.707551492402935,1.3728045947297371,6352.872423695644,321.6086761058698,3588.0666666666666,6352.774129639919,[[  0   0   0 ... 697 712 744]],321.6058460048392,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[42.85800846 35.18724516 25.871649   26.61970866 50.22889828 36.87016258
  28.21481093 43.28674419 35.68485518 39.421765   30.98616179 40.2923759
  43.68915451 25.33131571 44.02509385 33.94911224 49.9453924  20.29471743
  29.8877158  31.54059113 34.35707917 35.4016321  40.87063602 27.15404615
  31.29870427 40.74647906 34.02659091 25.79164378 32.72830919 24.66594594]]","[[1.7788074  1.75493007 1.27232076 1.09035983 1.24288789 1.35291149
  1.03588386 1.37275316 1.31591474 1.40812901 1.19274166 1.22300798
  2.0676929  1.25633607 1.49177483 1.55919731 1.95886235 1.11059817
  1.12466548 1.50779328 1.18768587 1.38868845 1.68380982 0.87635903
  1.56714768 1.88793962 1.40892117 0.9635449  1.01058691 1.09188618]]","[[3269. 3529. 3437. 3491. 3518. 3667. 3428. 3823. 3459. 3450. 3430. 3643.
  3591. 3654. 3461. 3517. 3387. 3629. 3524. 3751. 3652. 3792. 3525. 3603.
  3864. 3863. 3865. 3561. 3700. 3559.]]",7.521767113737948,0.2993303226440683,3.507360940491395,0.3922104224080721,150.9882850496098,"[[  7.53333333   8.           8.         ... 134.86666667 147.6
  161.36666667]]","[[-13.05691735 -12.57537474 -12.14873789 ...  11.7381852   12.1274747
   29.67373003]]","[[ 1.54344492  0.          0.         ...  9.47182958 12.50226646
  11.50791998]]",[[0.3081752  0.24241853 0.24865409 ... 0.21031262 0.27789278 0.39622134]]
9,"(0.0, 0.0, 9)","[[6278.04906002 6273.03020876 6270.0451354  6277.01983428 6274.82477843
  6268.79318529 6270.62660346 6273.86356243 6274.56372985 6270.45819697
  6273.88029851 6268.44637849 6270.98174132 6274.14982288 6272.18016323
  6267.49343837 6275.61662309 6267.34138212 6270.9755222  6269.79297904
  6274.06598626 6269.57207471 6275.21218765 6272.86330156 6271.55100434
  6272.08258874 6270.102551   6276.55462814 6270.09696895 6268.12364269]]","[[316.30791849 315.41941369 315.23579588 316.48115728 315.92508189
  315.16113126 315.62097157 315.96895781 315.23488987 315.56333084
  315.66865856 314.93925115 314.96120048 315.89659032 315.49890842
  315.59841078 316.26782048 315.24568757 315.71382511 315.40016424
  315.99740472 315.43387209 316.18036164 315.40310721 315.81686654
  315.74164436 314.93939205 316.4728172  315.11652157 315.06251335]]",6279.863961604899,42.002850205497865,1.2861820984304182,6272.078585939234,315.6091222137363,4942.3,6271.928236550897,[[  0   0   0 ... 697 712 744]],315.6066726473463,"[[-60.44995929 -33.60454993 -31.52442303 ...  81.44382555 108.98708649
  256.31002739]]",3289057.0,"[[52.34823567 38.29279015 48.87676112 50.76945713 25.80706191 35.93426097
  29.60975815 38.35193751 44.06288436 33.90778344 27.78616762 67.97846064
  65.36516231 30.41169366 49.62194855 58.25293507 44.07649916 46.21043653
  33.6660726  29.10105    33.55797637 48.6251421  36.41068219 48.27564373
  28.33968556 28.44417535 55.75486028 54.8185289  33.56492879 41.86252633]]","[[1.50980936 1.20959006 1.47978834 1.62588303 0.92067531 1.18887898
  1.12169876 0.99911096 1.4859374  0.89640363 1.05779618 1.83886762
  1.95990914 0.9548795  0.96551644 1.5921053  1.3767652  1.27580265
  1.00266156 1.22505201 0.99250432 1.21114718 1.44342794 1.11276993
  1.03858028 0.92640258 1.496162   1.92617194 1.27872656 1.47243879]]","[[4714. 4957. 5014. 4509. 4755. 5104. 5108. 4819. 5147. 4994. 4886. 5176.
  5261. 4854. 5128. 4925. 4541. 5084. 4949. 5084. 4753. 4952. 4631. 5084.
  4733. 4971. 5253. 4625. 5105. 5153.]]",11.399830269353291,0.2993939175112242,2.865624277376041,0.44463030960994976,205.14176399098585,"[[  8.76666667   9.           9.         ... 142.2        156.56666667
  180.8       ]]","[[-13.55400182 -12.92780745 -12.5344099  ...  12.17154308  12.55430302
   32.70335637]]","[[ 1.0857665   0.          0.         ... 12.10619676 17.12441402
  22.49799991]]",[[0.40018404 0.28510117 0.22730404 ... 0.22997949 0.26652007 0.43440336]]
